2021-07-05 08:54:05 [main] ERROR com.bw.codegen.CodeGenMain.generateWithAlias(67)): - java.lang.RuntimeException: 表[lcb_gain_time`]不存在
2021-07-05 08:55:08 [main] ERROR com.bw.codegen.CodeGenMain.generateWithAlias(67)): - java.lang.RuntimeException: 表[lcb_gain_time`]不存在
2021-07-05 08:55:36 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(131)): - Gen [tableName=lcb_gain_time, tableComment=里程碑获取时间节点表, className=LcbGainTime, classname=lcbGainTime]
2021-07-05 08:55:36 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=id, columnType=varchar, columnLength=64, columnComment=id, attrName=Id, attrname=id, attrType=String, columnKey=PRI]
2021-07-05 08:55:36 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=item_id, columnType=varchar, columnLength=64, columnComment=项目id, attrName=ItemId, attrname=itemId, attrType=String, columnKey=]
2021-07-05 08:55:36 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=start_time, columnType=datetime, columnLength=null, columnComment=开工时间, attrName=StartTime, attrname=startTime, attrType=Date, columnKey=]
2021-07-05 08:55:36 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=completion_time, columnType=datetime, columnLength=null, columnComment=竣工时间, attrName=CompletionTime, attrname=completionTime, attrType=Date, columnKey=]
2021-07-05 08:55:36 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=acceptance_time, columnType=datetime, columnLength=null, columnComment=验收时间, attrName=AcceptanceTime, attrname=acceptanceTime, attrType=Date, columnKey=]
2021-07-05 08:55:36 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=item_state, columnType=varchar, columnLength=10, columnComment=项目状态, attrName=ItemState, attrname=itemState, attrType=String, columnKey=]
2021-07-13 09:12:18 [main] ERROR com.bw.codegen.CodeGenMain.generateWithAlias(67)): - java.lang.RuntimeException: 表[lzhapp_material]不存在
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(131)): - Gen [tableName=lzhapp_material, tableComment=物料表, className=LzhappMaterial, classname=lzhappMaterial]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=id, columnType=varchar, columnLength=40, columnComment=, attrName=Id, attrname=id, attrType=String, columnKey=PRI]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=material_type, columnType=varchar, columnLength=40, columnComment=物料类型, attrName=MaterialType, attrname=materialType, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=material_code, columnType=varchar, columnLength=40, columnComment=物料编号, attrName=MaterialCode, attrname=materialCode, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=material_name, columnType=varchar, columnLength=40, columnComment=物料名称, attrName=MaterialName, attrname=materialName, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=material_specification, columnType=varchar, columnLength=200, columnComment=物料规格, attrName=MaterialSpecification, attrname=materialSpecification, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=material_unit, columnType=varchar, columnLength=40, columnComment=物料单位, attrName=MaterialUnit, attrname=materialUnit, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=piece_weight, columnType=varchar, columnLength=40, columnComment=物料单重, attrName=PieceWeight, attrname=pieceWeight, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=piece_price, columnType=varchar, columnLength=40, columnComment=物料单价, attrName=PiecePrice, attrname=piecePrice, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=notax_piece_price, columnType=varchar, columnLength=40, columnComment=不含税单价, attrName=NotaxPiecePrice, attrname=notaxPiecePrice, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=supplier, columnType=varchar, columnLength=40, columnComment=供给方, attrName=Supplier, attrname=supplier, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=trans_type, columnType=varchar, columnLength=40, columnComment=运输类型, attrName=TransType, attrname=transType, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=statistical_type, columnType=varchar, columnLength=40, columnComment=统计类型, attrName=StatisticalType, attrname=statisticalType, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=material_category, columnType=varchar, columnLength=40, columnComment=类别, attrName=MaterialCategory, attrname=materialCategory, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=material_usage, columnType=varchar, columnLength=40, columnComment=用途, attrName=MaterialUsage, attrname=materialUsage, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=transport_inspection, columnType=varchar, columnLength=200, columnComment=运检, attrName=TransportInspection, attrname=transportInspection, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=material_desc, columnType=varchar, columnLength=1000, columnComment=描述, attrName=MaterialDesc, attrname=materialDesc, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=material_extradesc, columnType=varchar, columnLength=1000, columnComment=扩展描述, attrName=MaterialExtradesc, attrname=materialExtradesc, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=materials_code, columnType=varchar, columnLength=40, columnComment=物资编码, attrName=MaterialsCode, attrname=materialsCode, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=material_extracode, columnType=varchar, columnLength=40, columnComment=扩展编码, attrName=MaterialExtracode, attrname=materialExtracode, attrType=String, columnKey=]
